TaxonGrp,Species,Base-substitution Mutation rate,Total Genome size Mb,Protein-coding Genome Size Mb,Organism Mass at Maturity(ug DW),Ne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligocellular,Scytosiphon (per generation),0.00000000122000,185.35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Silene latifolia,0.00000000731000,1185.09000,,5000000.0000,591450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Sphaerodactylus inigoi,0.00000001359940,2144.12930,29.34657,17500000,157734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Sphaeroforma arctica JP610,0.00000000005600,121.63100,16.97985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vascular plants,Spirodela polyrhiza,0.00000000008390,140.44000,21.73443,370.2297,1267707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Staphylococcus aureus ATCC 25923,0.00000000043800,2.80694,2.30835,0.000000176,37911918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Staphylococcus epidermidis ATCC 12228,0.00000000074000,2.56461,2.05771,0.000000087,37062379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Streptococcus pneumoniae D39,0.00000001010000,2.04612,1.68871,0.000000129,1165418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Streptococcus suis,0.00000000122500,2.19625,1.84588,0.000000046,54328962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Sus scrofa / suis,0.00000000360000,2501.91000,35.83135,51000000000.00,320431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Syngnathus scovelli,0.00000000558755,428.43000,37.89861,2500000,331375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Taeniopygia guttata,0.00000000584706,1056.27000,30.41799,3600000.00,425279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vertebrates,Tapirus indicus,0.00000000480353,2425.20000,,90000000000.00,70242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bacteria,Teredinibacter turnerae T7901,0.00000000114000,5.19316,4.46914,0.000000491,50144863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unicellular eukaryotes,Tetrahymena thermophila,0.00000000000761,103.01400,50.76574,0.003098909,105462315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
