year,transect_id,site_id,lat,lon,facies,reef_name,plhcoral,family,scientific_name,length_cm,av.weight.g,animal_count
2016,1968,69746,-21.925939,113.949848,Bommie,Mangrove,30,Acanthuridae,Acanthurus dussumieri,25,480.3886033,1
2018,393,31494,-22.21833,113.83904,Reef flat,Osprey,20,Acanthuridae,Acanthurus dussumieri,25,233.1195345,5
2016,882,65981,-21.93235,113.94504,Lagoon,Mangrove,30,Acanthuridae,Acanthurus dussumieri,25,462.4413512,3
2016,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,20,Acanthuridae,Acanthurus dussumieri,30,391.9483436,2
2015,908,66151,-22.2239,113.83965,Lagoon,Osprey,0,Acanthuridae,Acanthurus dussumieri,15,10.35733902,11
2017,1938,69731,-21.849402,114.017349,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,20,240.7397344,1
2017,1465,69417,-22.009255,113.90068,Reef slope,Mangrove,64,Acanthuridae,Acanthurus dussumieri,30,749.1367811,0
2015,1475,69423,-21.973244,113.91175,Reef slope,Mangrove,20,Acanthuridae,Acanthurus dussumieri,20,28.77914728,10
2018,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,45,Acanthuridae,Acanthurus dussumieri,25,9.339765365,48
2019,1471,69420,-21.996843,113.906339,Reef slope,Mangrove,60,Acanthuridae,Acanthurus dussumieri,20,12.83046566,18
2018,1481,69427,-21.952949,113.914424,Reef slope,Mangrove,25,Acanthuridae,Acanthurus dussumieri,30,188.1966015,7
2015,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,10,Acanthuridae,Acanthurus olivaceus,25,75.01081358,6
2017,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,25,Acanthuridae,Acanthurus olivaceus,25,23.79012648,19
2016,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,30,930.4784709,1
2016,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Acanthurus olivaceus,25,27.50930716,21
2016,1994,69759,-21.91767,113.92545,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,25,511.7364247,4
2016,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,20,Acanthuridae,Acanthurus olivaceus,25,525.1853269,-0
2015,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,15,Acanthuridae,Acanthurus olivaceus,30,114.9900872,5
2016,1505,69447,-21.851507,113.99014,Reef slope,Jurabi,15,Acanthuridae,Acanthurus olivaceus,25,542.3807539,1
2018,1942,69733,-21.85365,114.00372,Reef slope,Jurabi,15,Acanthuridae,Acanthurus olivaceus,25,565.227895,3
2016,585,46815,-22.24252,113.82305,Reef slope,Osprey,55,Acanthuridae,Acanthurus dussumieri,30,95.78224838,4
2017,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,25,Acanthuridae,Acanthurus dussumieri,30,20.37334291,39
2019,1960,69742,-21.947448,113.941872,Bommie,Mangrove,10,Acanthuridae,Acanthurus dussumieri,30,248.3642803,2
2017,1938,69731,-21.849402,114.017349,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,25,200.7129694,2
2018,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,25,Acanthuridae,Acanthurus dussumieri,25,465.30929,1
2015,1493,69436,-21.861601,113.977145,Reef slope,Jurabi,1,Acanthuridae,Acanthurus dussumieri,25,240.8404661,3
2016,1469,69419,-22.003049,113.903999,Reef slope,Mangrove,25,Acanthuridae,Acanthurus dussumieri,30,36.21088959,18
2017,1938,69731,-21.849402,114.017349,Reef slope,Jurabi,5,Acanthuridae,Acanthurus dussumieri,35,393.2903904,5
2017,1946,69735,-21.869671,113.972379,Reef slope,Jurabi,10,Acanthuridae,Acanthurus dussumieri,25,159.4071345,2
2015,2000,69762,-21.90297,113.93295,Reef slope,Mangrove,15,Acanthuridae,Acanthurus olivaceus,25,50.17491777,12
2016,1469,69419,-22.003049,113.903999,Reef slope,Mangrove,25,Acanthuridae,Acanthurus olivaceus,20,23.17037118,8
2016,1554,69533,-22.21494,113.83396,Reef slope,Osprey,65,Acanthuridae,Acanthurus olivaceus,20,54.71143004,7
2018,382,31487,-22.21801,113.83309,Reef slope,Osprey,40,Acanthuridae,Naso caesius,50,2831.60782,-0
2017,1940,69732,-21.851654,113.996863,Reef slope,Jurabi,5,Acanthuridae,Naso fageni,20,94.91711912,4
2018,1746,69589,-21.987901,113.922764,Bommie,Mangrove,5,Acanthuridae,Naso fageni,35,508.3368804,4
